(InGameID*10000)+costumeSN,CostumeModelName
200785,boxing_head_w
210785,boxing_head_w
220785,boxing_head_w
230785,boxing_head_w
240785,boxing_head_w
250785,boxing_head_w
280785,boxing_head_w
310785,boxing_head_w
320785,boxing_head_w
330785,boxing_head_w
390785,boxing_head_w
400785,boxing_head_w
430785,boxing_head_w
440785,boxing_head_w
460785,boxing_head_w
480785,boxing_head_w
500785,boxing_head_w
510785,boxing_head_w
530785,boxing_head_w
580785,boxing_head_w
590785,boxing_head_w
640785,boxing_head_w
650785,boxing_head_w
660785,boxing_head_w
670785,boxing_head_w
690785,boxing_head_w
700785,boxing_head_w
720785,boxing_head_w
740785,boxing_head_w
760785,boxing_head_w
770785,boxing_head_w
780785,boxing_head_w
790785,boxing_head_w
800785,boxing_head_w
810785,boxing_head_w
820785,boxing_head_w
860785,boxing_head_w
870785,boxing_head_w
880785,boxing_head_w
890785,boxing_head_w
900785,boxing_head_w
910785,boxing_head_w
920785,boxing_head_w
930785,boxing_head_w
940785,boxing_head_w
960785,boxing_head_w
200786,boxing_pelvis_w
210786,boxing_pelvis_w
220786,boxing_pelvis_w
230786,boxing_pelvis_w
240786,boxing_pelvis_w
250786,boxing_pelvis_w
280786,boxing_pelvis_w
310786,boxing_pelvis_w
320786,boxing_pelvis_w
330786,boxing_pelvis_w
390786,boxing_pelvis_w
400786,boxing_pelvis_w
430786,boxing_pelvis_w
440786,boxing_pelvis_w
460786,boxing_pelvis_w
480786,boxing_pelvis_w
500786,boxing_pelvis_w
510786,boxing_pelvis_w
530786,boxing_pelvis_w
580786,boxing_pelvis_w
590786,boxing_pelvis_w
640786,boxing_pelvis_w
650786,boxing_pelvis_w
660786,boxing_pelvis_w
670786,boxing_pelvis_w
690786,boxing_pelvis_w
700786,boxing_pelvis_w
720786,boxing_pelvis_w
740786,boxing_pelvis_w
760786,boxing_pelvis_w
770786,boxing_pelvis_w
780786,boxing_pelvis_w
790786,boxing_pelvis_w
800786,boxing_pelvis_w
810786,boxing_pelvis_w
820786,boxing_pelvis_w
860786,boxing_pelvis_w
870786,boxing_pelvis_w
880786,boxing_pelvis_w
890786,boxing_pelvis_w
900786,boxing_pelvis_w
910786,boxing_pelvis_w
920786,boxing_pelvis_w
930786,boxing_pelvis_w
940786,boxing_pelvis_w
960786,boxing_pelvis_w
200948,buffclassa_head_w
210948,buffclassa_head_w
220948,buffclassa_head_w
230948,buffclassa_head_w
240948,buffclassa_head_w
250948,buffclassa_head_w
280948,buffclassa_head_w
310948,buffclassa_head_w
320948,buffclassa_head_w
330948,buffclassa_head_w
390948,buffclassa_head_w
400948,buffclassa_head_w
430948,buffclassa_head_w
440948,buffclassa_head_w
460948,buffclassa_head_w
480948,buffclassa_head_w
500948,buffclassa_head_w
510948,buffclassa_head_w
530948,buffclassa_head_w
580948,buffclassa_head_w
590948,buffclassa_head_w
640948,buffclassa_head_w
650948,buffclassa_head_w
660948,buffclassa_head_w
670948,buffclassa_head_w
690948,buffclassa_head_w
700948,buffclassa_head_w
720948,buffclassa_head_w
740948,buffclassa_head_w
760948,buffclassa_head_w
770948,buffclassa_head_w
780948,buffclassa_head_w
790948,buffclassa_head_w
800948,buffclassa_head_w
810948,buffclassa_head_w
820948,buffclassa_head_w
860948,buffclassa_head_w
870948,buffclassa_head_w
880948,buffclassa_head_w
890948,buffclassa_head_w
900948,buffclassa_head_w
910948,buffclassa_head_w
920948,buffclassa_head_w
930948,buffclassa_head_w
940948,buffclassa_head_w
960948,buffclassa_head_w
200949,buffclassb_head_w
210949,buffclassb_head_w
220949,buffclassb_head_w
230949,buffclassb_head_w
240949,buffclassb_head_w
250949,buffclassb_head_w
280949,buffclassb_head_w
310949,buffclassb_head_w
320949,buffclassb_head_w
330949,buffclassb_head_w
390949,buffclassb_head_w
400949,buffclassb_head_w
430949,buffclassb_head_w
440949,buffclassb_head_w
460949,buffclassb_head_w
480949,buffclassb_head_w
500949,buffclassb_head_w
510949,buffclassb_head_w
530949,buffclassb_head_w
580949,buffclassb_head_w
590949,buffclassb_head_w
640949,buffclassb_head_w
650949,buffclassb_head_w
660949,buffclassb_head_w
670949,buffclassb_head_w
690949,buffclassb_head_w
700949,buffclassb_head_w
720949,buffclassb_head_w
740949,buffclassb_head_w
760949,buffclassb_head_w
770949,buffclassb_head_w
780949,buffclassb_head_w
790949,buffclassb_head_w
800949,buffclassb_head_w
810949,buffclassb_head_w
820949,buffclassb_head_w
860949,buffclassb_head_w
870949,buffclassb_head_w
880949,buffclassb_head_w
890949,buffclassb_head_w
900949,buffclassb_head_w
910949,buffclassb_head_w
920949,buffclassb_head_w
930949,buffclassb_head_w
940949,buffclassb_head_w
960949,buffclassb_head_w
