;,,,";무기/장비=""Equipment"",클래스(캐릭터)=""Class""",";권총=1,샷건=2,기관단총=3,소총=4,기관총=5장비=6,클래스=7,기능성(passive)=8,작동성(active)=9",,";UseType, 0= 간접사용, 1= 자동사용, 2= 수동사용, 3= 수동사용(int), 4= 수동사용(string)",";공용=0,테러리스트1,대테러리스트2",,,,,,,,,,,,,,,,,,,,,";0=개인,1=클랜;공백=0",
;ID,Name,recourcename,ClassName,Category,InGameID,UseType,Team,Level,ExpPointModCategory,ExpModPriority,ExpModMin,ExpModMax,PCBangExpModMin,PCBangExpModMax,PointModPriority,PointModMin,PointModMax,PCBangPointModMin,PCBangPointModMax,InventoryType,Damage,HitRate,Reaction,FiringSpeed,Weight,SkinBase,Period,BuyerType,ItemBoxName
1,.40 Dual Elites,Elites,Equipment,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,63,70,86,25,,1,,
2,228 Compact,p228,Equipment,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,50,70,86,25,,1,,
3,9X19mm Sidearm,Glock18,Equipment,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,67,100,86,25,,1,,
4,Night Hawk .50C,deserteagle,Equipment,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,45,70,81,25,,1,,
5,ES Five-Seven,fiveseven,Equipment,1,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,17,62,70,86,25,,1,,
6,K&M .45 Tactical,usp45,Equipment,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,72,70,85,25,,1,,
7,Leone 12 Gauge Super,m3,Equipment,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,100,40,54,43,,1,,
8,Leone YG1265 Auto Shotgun,xm1014,Equipment,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,100,48,76,34,,1,,
9,Schmidt Machine Pistol,tmp,Equipment,3,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,17,73,83,92,25,,1,,
10,Ingram MAC-10,MAC10,Equipment,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,72,81,92,25,,1,,
11,ES C90,p90,Equipment,3,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,68,91,92,29,,1,,
12,K&M Sub-Machine Gun,MP5,Equipment,3,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,79,92,92,25,,1,,
13,K&M UMP45,ump45,Equipment,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,75,91,90,25,,1,,
14,Magnum Sniper Rifle,awp,Equipment,4,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,70,26,65,,1,,
15,Maverick M4A1 Carbine,m4a1,Equipment,4,22,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,29,88,92,91,43,,1
16,Bullpup,aug,Equipment,4,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,28,90,82,86,34,,1
17,Schmidt Scout,Scout,Equipment,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,88,70,36,17,,1
18,Krieg 550 Commando,sg550,Equipment,4,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,61,62,76,83,65,,1
19,Krieg 552,sg552,Equipment,4,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29,90,82,91,38,,1
20,Clarion 5.56,famas,Equipment,4,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,26,90,82,88,34,,1
21,CV-47,AK47,Equipment,4,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,83,79,91,53,,1
22,D3/AU-1 Semi-Auto Sniper Rifle,G3SG1,Equipment,4,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,70,73,72,83,65,,1
23,IDF Defender,Galil,Equipment,4,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26,77,82,91,34,,1
24,ES M249 Para,m249,Equipment,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,78,79,90,54,,1
25,Night Vision Goggles ,nightvision,Equipment,6,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
26,Smoke Grenade ,SmokeGrenade,Equipment,6,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
27,Kevlar Vest ,Kevlar,Equipment,6,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
28,Kevlar Vest & Helmet ,Kevlar_Helmet,Equipment,6,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
29,Defuse Kit ,defuser,Equipment,6,2005,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
30,Flashbang ,Flashbang,Equipment,6,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
31,HE Grenade ,HEGrenade,Equipment,6,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
32,QBB-95,QBB95,Equipment,5,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,79,74,90,49,,1
33,FN SCAR,SCAR,Equipment,4,31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"28,34","90,87","81,80","91,90","43,60",,1
34,XM-8,XM8,Equipment,4,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"28,28","83,78","81,78","91,91","53,65",,1
35,VSK-94 Sniper Rifle,VSK94,Equipment,4,40,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,28,90,79,90,25,,1
36,K1A Submachinegun,K1A,Equipment,3,38,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,26,78,87,91,29,,1
37,MP7A1 Submachinegun,MP7A1,Equipment,3,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"25,25","71,90","91,88","92,87","25,43",,1
38,USAS-12 Automatic Shotgun,USAS12,Equipment,2,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,100,48,76,90,,1
39,Dragunov SVD,svd,Equipment,4,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,96,88,39,67,43,,1
40,Guerilla,guerilla,Class,7,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
41,Terror,terror,Class,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
42,Leet,leet,Class,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
43,Arctic,arctic,Class,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
44,Militia,militia,Class,7,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
45,RBC,RB,Class,7,16,2,1,33,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
46,VC,IRA,Class,7,17,2,1,0,2,2,20,20,40,40,2,10,10,20,20,1,,,,,,,1
47,NLC,ETA,Class,7,18,2,1,0,2,2,5,5,10,10,0,0,0,0,0,1,,,,,,,1
48,ARA,JRA,Class,7,19,2,1,0,2,2,20,20,30,30,0,0,0,0,0,1,,,,,,,1
49,Urban,urban,Class,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
50,GSG9,gsg9,Class,7,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
51,GIGN,gign,Class,7,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
52,SAS,sas,Class,7,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
53,Spetsnaz,Spetsnaz,Class,7,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
54,707,707,Class,7,12,2,2,33,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
55,Sozo,sozo,Class,7,13,2,2,0,2,2,20,20,40,40,2,10,10,20,20,1,,,,,,,1
56,Magui,magui,Class,7,14,2,2,0,2,2,5,5,10,10,0,0,0,0,0,1,,,,,,,1
57,Sdefence,sdefence,Class,7,15,2,2,0,2,2,20,20,30,30,0,0,0,0,0,1,,,,,,,1
58,NoThirdperson,NoThirdperson,PeriodicItem,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
59,ExpUp,ExpUp,PeriodicItem,8,0,2,0,0,1,1,50,50,90,90,0,0,0,0,0,1,,,,,,,1
60,AttackStats,AttackStats,item,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0
61,WeaponLimitPistol,WeaponLimitPistol,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
62,NoOverview,NoOverview,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
63,NicknameUnderbar,NicknameUnderbar,NicknameUnderbar,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0
64,NicknameBackground,NicknameBackground,NicknameBackground,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0
65,NicknameChange,NicknameChange,NicknameChange,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0
66,NicknameBold,NicknameBold,NicknameBold,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0
67,NicknameColor,NicknameColor,NicknameColor,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0
68,NicknameCamouflage,NicknameCamouflage,NicknameCamouflage,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
69,NicknameItalic,NicknameItalic,NicknameItalic,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0
70,NicknameStrike,NicknameStrike,NicknameStrike,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0
71,InviteAll,InviteAll,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
72,ChannelChat,ChannelChat,ChannelChat,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
73,DoubleUp,DoubleUp,PeriodicItem,8,0,2,0,0,1,1,50,50,90,90,1,50,50,90,90,1,,,,,,,1
74,LevelCamouflage,LevelCamouflage,LevelCamouflage,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0
75,LevelLimit,LevelLimit,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
76,ShortTimeRespawn,ShortTimeRespawn,PeriodicItem,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
77,SourceMiniMap,SourceMiniMap,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
78,RoomnameChange,RoomnameChange,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1
79,Ban,Ban,Requirement,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,
80,ResetPcbang,ResetPcbang,ResetCafe,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,
81,WeaponLimitSniper,WeaponLimitSniper,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1,
82,ResetWinAndLose,ResetWinAndLose,ResetWinLose,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,0,
83,GameModeBotTraining,GameModeBotTraining,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1,
84,DisplayKiller,DisplayKiller,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,1,
