1,3200,,
2,7040,,
3,11648,,
4,17178,,
5,23814,,
6,31777,,
7,41332,,
8,52798,,
9,66557,,
10,83068,,
11,102882,,
12,126658,,
13,155190,,
14,189428,,
15,230513,,
16,279815,,
17,338978,,
18,409974,,
19,495169,,
20,597403,,
21,720083,,
22,867299,,
23,1043959,,
24,1255951,,
25,1510341,,
26,1815609,,
27,2181930,,
28,2621516,,
29,3149019,,
30,3782023,,
31,4541627,,
32,5453152,,
33,6546982,,
34,7859578,,
35,9434693,,
36,11324831,,
37,13592997,,
38,16314796,,
39,19580955,,
40,23500346,,
41,28203615,,
42,33847538,,
43,40620245,,
44,48747494,,
45,58500193,,
46,70203431,,
47,84247317,,
48,101099980,,
49,121323176,,
50,,,
